"unitid","revenue","expenditure","enrollment","partic","women"
146603,1872.056,1863.159,799.6,221,0
146612,13981.513,13981.513,1718.44444444444,1153,0
146667,709.493,690.932,185,189,0
146676,4632.762,4632.762,378.769230769231,625,0
146685,550.527,548.898,1068,71,0
146719,33817.207,33817.207,3570.2,783,0
146825,911.322,905.762,263.333333333333,245,0
147004,393.632,356.971,1015.2,102,0
147013,15225.021,14858.174,818.12,1714,0
147244,3221.096,3199.418,807,794,0
147341,2420.414,2420.414,499.916666666667,941,0
147369,174.869,174.869,1264,23,0
147378,829.948,882.912,2827.4,300,0
147411,879.866,866.27,578.2,242,0
147660,6515.926,5799.406,1185.8,1793,0
147679,2745.25,2745.25,689.388888888889,640,0
147703,16958.784,16958.784,5858.8,304,0
147767,74100.185,64786.994,4064.2,425,0
147800,740.989,740.989,1420.4,219,0
147828,10835.935,10171.391,1254,1309,0
147916,1025.009,1022.785,1493.2,183,0
148007,603.94,603.94,566.4,144,0
148131,8533.512,8553.575,474.193548387097,789,0
148256,1214.093,1046.173,537.4,105,0
148335,13019.715,12980.412,1075.70731707317,1585,0
148380,435.836,435.836,1266.81818181818,177,0
148405,1483.422,1483.422,388.1875,424,0
148487,2773.646,2773.646,777.8,324,0
148496,2413.523,2413.523,671.2,440,0
148584,8724.31,8597.698,491.8,964,0
148627,6705.184,6705.184,951.142857142857,633,0
148654,5058.294,5050.798,843.964285714286,549,0
148672,580.995,568.462,298.5,123,0
148821,488.471,488.471,239.4,76,0
148937,472.736,472.736,272.2,68,0
148991,12.891,12.891,331,6,0
149222,19374.908,19374.908,5036.95454545455,659,0
149231,12197.916,11467.118,4470.88235294118,486,0
149365,1306.709,1306.709,452.4,201,0
149505,5754.376,5716.577,304.413793103448,662,0
149514,5477.228,5286.697,324.6,299,0
149532,852.419,833.071,1430.8,304,0
149727,768.113,766.973,1440.38888888889,275,0
149772,10456.736,10456.736,3303.20833333333,688,0
149781,3681.73,3681.73,1078.4,1087,0
149842,538.586,538.586,2321,361,0
150048,1416.043,1416.043,168.230769230769,271,0
150066,2971.559,2758.267,578.862068965517,655,0
150136,16530.523,16530.523,6028.2,408,0
150145,7391.946,7388.404,418.555555555556,901,0
150163,46927.845,39371.621,1703.4,713,0
150172,4690.669,4684.734,219.870967741935,509,0
150400,5113.68,5113.68,1004.87878787879,1146,0
150455,3194.665,3171.73,436.060606060606,659,0
150534,21624.671,21624.671,859.266666666667,557,0
150604,2160.471,2102.943,452.735294117647,607,0
150668,4868.252,4868.252,296.090909090909,600,0
150677,5525.091,5453.253,571.2,768,0
150756,3439.267,3265.096,479.315789473684,783,0
150774,3526.055,3526.055,290.5,261,0
150941,7776.737,6031.822,371.8,685,0
151102,13526.408,13526.408,2735.80952380952,422,0
151111,17804.149,17804.149,7308,852,0
151263,19725.195,19725.195,1430,1522,0
151290,17921.626,17905.595,1367.32558139535,2053,0
151306,7442.224,7291.302,2494.2,880,0
151324,13586.265,13568.676,4150.2,650,0
151333,1391.278,1381.306,770,241,0
151342,1003.936,1129.603,1363.375,154,0
151351,127106.458,98208.674,16048.6,1104,0
151360,556.911,551.562,816.625,143,0
151379,1100.493,1092.674,1253.8,120,0
151388,3566.793,3566.793,636.84375,393,0
151777,1855.606,1818.93,571.421052631579,792,0
151786,14515.271,14515.271,751.333333333333,1104,0
151801,9499.931,7523.778,1316.94117647059,758,0
152080,28678.973,85187.788,4462.2,1470,0
152099,2734.826,2619.09,220.2,280,0
152248,1343.658,1317.147,2310.22222222222,139,0
152318,3411.113,3201.973,1602.30769230769,1144,0
